English,Portuguese
I,EU
East,Leste
not,não
THE,O
YOU,VOCÊ
there,lá
you,você
that,que
A,UM
he,ele
And,E
has,tem
has,tem
born,nascer
THE,O
This,Esse
in,em
we,nós
That,Que
a,um
For,Para
Me,Meu
We,Nós
y,sim
but,mas
me,meu
In,Em
of,de
GOOD,BOM
She,Ela
if,se
All,Todos
more,mais
No,Não
My,Meu
am,sou
you,você
At,No
with,com
Yes,Sim
You,Você
do,fazer
they,eles
ace,ás
be,ser
TO DO,PENDÊNCIA
se,se
as,como
was,era
on,sobre
What,O que
know,saber
him,ele
want,querer
my,meu
there,lá
Nothing,Nada
said,disse
are,são
Or,Ou
your,seu
Why,Por que
are,são
this,esse
When,Quando
by,por
her,dela
your,seu
can,pode
say,dizer
SO,ENTÃO
how,como
have,ter
Or,Ou
very,muito
THANKS,OBRIGADO
have,ter
even,até
Never,Nunca
Also,Também
see,ver
thing,coisa
Go on,Prossiga
all,todos
two,dois
these,esses
must,deve
its,isso é
are,são
summer,verão
your,seu
do ,fazer 
to have,ter
can,pode
other,outro
m,eu
Again,De novo
little,pequeno
my,meu
Really,Realmente
time,tempo
OUR,NOSSO
always,sempre
life,vida
without,sem
just,apenas
Oh,Oh
had,tive
agreement,acordo
seen,visto
world,mundo
some,alguns
times,vezes
go,ir
too much,demais
come,vir
believe,acreditar
God,Deus
have to,precisa
man,homem
father,pai
on,sobre
to,para
their,deles
Before,Antes
was,era
need,precisar
women,mulheres
love,amor
had,tive
TRUE,verdadeiro
years,anos
wrong,errado
his,dele
talk,falar
your,seu
After,Depois
dead,morto
had,tive
will be,vai ser
Good,Bom
because,porque
better,melhorar
little,pequeno
There,Lá
your ,seu 
That,Que
say,dizer
a lot,bastante
Since,Desde
must,deve
see ,ver 
mother,mãe
go,ir
Sir,Senhor
what,o que
Already,Já
girl,garota
people,pessoas
SO,ENTÃO
day,dia
evening,noite
others,outros
all,todos
Good morning,Bom dia
House,Casa
name,nome
money,dinheiro
our,nosso
